Year,Mo,MonthID,Globe,Land,Ocean,NH,Land,Ocean,SH,Land,Ocean,Trpcs,Land,Ocean,NoExt,Land,Ocean,SoExt,Land,Ocean,NoPol,Land,Ocean,SoPol,Land,Ocean,USA48,USA49,AUST
1978,12,23748,-0.36,-0.36,-0.36,-0.31,-0.3,-0.31,-0.41,-0.49,-0.39,-0.47,-0.49,-0.47,-0.23,-0.27,-0.2,-0.37,-0.41,-0.36,-0.24,-0.55,0.12,-0.35,-0.21,-0.42,-1.03,-0.94,-1.2
1979,1,23749,-0.33,-0.48,-0.27,-0.48,-0.69,-0.35,-0.18,0,-0.22,-0.37,-0.42,-0.36,-0.54,-0.75,-0.35,-0.08,0.26,-0.15,-0.11,-0.65,0.51,-0.11,-0.08,-0.12,-3.07,-2.25,1.16
1979,2,23750,-0.27,-0.35,-0.24,-0.25,-0.32,-0.21,-0.29,-0.41,-0.27,-0.23,-0.09,-0.27,-0.27,-0.4,-0.16,-0.31,-0.58,-0.27,-1.71,-2.06,-1.32,-0.68,-1.09,-0.49,-1.55,-1.59,-0.21
1979,3,23751,-0.26,-0.31,-0.24,-0.28,-0.25,-0.29,-0.24,-0.44,-0.19,-0.26,-0.3,-0.25,-0.3,-0.25,-0.34,-0.21,-0.5,-0.16,-0.32,-0.26,-0.39,-0.47,-1.2,-0.13,-0.43,-0.15,0.42
1979,4,23752,-0.28,-0.4,-0.24,-0.31,-0.44,-0.23,-0.26,-0.32,-0.25,-0.25,-0.27,-0.24,-0.34,-0.51,-0.19,-0.26,-0.27,-0.26,-0.44,-0.45,-0.42,-0.18,0.42,-0.46,-0.61,-0.28,-0.94
1979,5,23753,-0.27,-0.39,-0.23,-0.36,-0.34,-0.37,-0.18,-0.49,-0.12,-0.34,-0.41,-0.31,-0.35,-0.31,-0.39,-0.13,-0.59,-0.04,-0.44,-0.2,-0.72,0.03,-0.37,0.22,-0.72,-0.6,-1.05
1979,6,23754,-0.26,-0.43,-0.2,-0.35,-0.42,-0.3,-0.18,-0.45,-0.12,-0.22,-0.29,-0.19,-0.38,-0.43,-0.34,-0.19,-0.64,-0.11,-0.49,-0.82,-0.12,-1.15,-1.79,-0.85,-0.51,-0.53,-0.34
1979,7,23755,-0.18,-0.4,-0.09,-0.07,-0.18,0,-0.3,-0.91,-0.17,-0.23,-0.33,-0.2,-0.01,-0.18,0.14,-0.3,-1.21,-0.14,-0.07,-0.22,0.11,-1.09,-2.31,-0.51,-0.04,0.02,-0.76
1979,8,23756,-0.28,-0.38,-0.23,-0.21,-0.24,-0.2,-0.34,-0.69,-0.26,-0.23,-0.18,-0.24,-0.23,-0.29,-0.18,-0.37,-0.97,-0.26,-0.08,-0.15,0,-0.99,-1.53,-0.73,-0.68,-0.31,-0.81
1979,9,23757,-0.16,-0.25,-0.12,-0.16,-0.14,-0.18,-0.15,-0.49,-0.08,-0.19,-0.23,-0.17,-0.15,-0.11,-0.19,-0.13,-0.73,-0.03,0.06,0.18,-0.07,-0.14,-0.62,0.09,0.88,0.95,-0.49
1979,10,23758,-0.01,-0.11,0.03,0.03,-0.08,0.09,-0.05,-0.2,-0.02,-0.07,-0.06,-0.07,0.05,-0.07,0.16,-0.01,-0.34,0.05,0.06,-0.1,0.24,-0.15,-0.66,0.09,0.47,0.67,-0.11
1979,11,23759,-0.13,0.01,-0.18,0.12,0.16,0.1,-0.38,-0.32,-0.39,-0.07,-0.16,-0.04,0.22,0.22,0.23,-0.54,-0.37,-0.58,-0.02,0.39,-0.49,-0.47,-0.43,-0.49,-1.04,-0.45,0.05
1979,12,23760,-0.08,0.16,-0.18,0.02,0.21,-0.11,-0.18,0.05,-0.23,-0.3,-0.46,-0.26,0.19,0.41,0.01,-0.13,0.35,-0.22,-0.38,0.03,-0.85,0.78,0.94,0.7,1.8,1.09,-0.05
1980,1,23761,-0.08,-0.32,0.01,-0.12,-0.43,0.08,-0.05,-0.06,-0.05,-0.08,-0.07,-0.08,-0.17,-0.53,0.16,0,-0.04,0,0.81,0.75,0.88,0.6,0.57,0.62,-0.58,-0.59,-0.1
1980,2,23762,0.06,0.07,0.06,0.01,0.03,-0.01,0.11,0.17,0.1,0.03,-0.08,0.06,-0.02,0.09,-0.11,0.17,0.28,0.16,1.67,1.88,1.42,0.61,0.42,0.7,-0.8,-0.33,0.87
1980,3,23763,-0.03,-0.19,0.03,-0.15,-0.46,0.06,0.09,0.44,0.01,-0.02,-0.02,-0.02,-0.23,-0.61,0.11,0.17,0.89,0.04,0.14,-0.23,0.56,0.96,1.35,0.77,-0.89,-0.79,0.54
1980,4,23764,0.03,0.04,0.03,-0.11,-0.16,-0.08,0.17,0.47,0.11,0,-0.02,0,-0.17,-0.21,-0.13,0.27,0.89,0.16,-0.26,-0.28,-0.25,1.41,2.19,1.05,-0.34,-0.34,0.08
1980,5,23765,0.06,0.06,0.07,-0.01,-0.06,0.01,0.14,0.33,0.1,0.04,0,0.06,-0.03,-0.07,0,0.19,0.59,0.12,0.1,-0.2,0.44,0.7,0.99,0.56,-0.44,-0.34,0.26
1980,6,23766,0.09,-0.08,0.15,0.09,-0.04,0.17,0.08,-0.17,0.14,0.13,-0.02,0.17,0.07,-0.05,0.17,0.06,-0.27,0.11,-0.04,-0.23,0.18,-0.32,-0.4,-0.28,-0.05,0.03,0.13
1980,7,23767,-0.04,0.08,-0.08,-0.05,-0.07,-0.04,-0.02,0.42,-0.11,-0.11,-0.18,-0.09,-0.04,-0.05,-0.03,0.04,0.9,-0.11,-0.66,-0.63,-0.69,1.39,2.66,0.79,0.75,0.6,-0.32
1980,8,23768,-0.03,0.03,-0.05,-0.14,-0.14,-0.14,0.09,0.39,0.02,-0.24,-0.32,-0.22,-0.09,-0.09,-0.09,0.26,0.94,0.14,0.14,0.41,-0.16,1.1,1.96,0.69,-0.07,-0.23,0.41
1980,9,23769,-0.01,-0.03,0,-0.17,-0.27,-0.12,0.15,0.5,0.08,-0.1,-0.19,-0.08,-0.21,-0.3,-0.14,0.29,1.05,0.16,-0.18,-0.1,-0.27,1.19,2.18,0.72,0.35,0.27,1.3
1980,10,23770,-0.16,-0.2,-0.15,-0.13,-0.14,-0.12,-0.19,-0.33,-0.17,-0.18,-0.19,-0.18,-0.12,-0.14,-0.09,-0.18,-0.39,-0.15,0.77,0.97,0.53,-0.64,-0.76,-0.58,-0.45,-0.22,-0.11
1980,11,23771,-0.14,0.1,-0.23,-0.05,0.16,-0.19,-0.23,-0.04,-0.27,-0.32,-0.36,-0.3,0.04,0.29,-0.18,-0.14,0.21,-0.2,-0.99,-0.64,-1.39,0.24,0.95,-0.1,0.01,0.1,0.32
1980,12,23772,-0.25,-0.13,-0.3,-0.15,0,-0.24,-0.36,-0.42,-0.34,-0.32,-0.41,-0.3,-0.06,0.12,-0.21,-0.37,-0.47,-0.36,-0.39,0,-0.83,-0.69,-0.54,-0.76,1.54,1.15,-0.37
1981,1,23773,-0.08,0.18,-0.19,-0.05,0.39,-0.33,-0.12,-0.3,-0.09,-0.37,-0.45,-0.35,0.12,0.62,-0.33,0.01,-0.23,0.05,1.77,2.62,0.8,-0.41,-0.66,-0.29,0.29,0.92,0.34
1981,2,23774,0.01,-0.04,0.03,-0.15,-0.09,-0.18,0.17,0.08,0.19,-0.32,-0.35,-0.31,-0.07,-0.02,-0.12,0.44,0.4,0.45,0.05,0.17,-0.08,0.35,0.34,0.35,0.32,0.35,0.49
1981,3,23775,-0.13,-0.1,-0.14,-0.28,-0.19,-0.34,0.02,0.11,0,-0.29,-0.36,-0.27,-0.28,-0.09,-0.46,0.19,0.31,0.17,0.07,0.16,-0.04,1.07,1.74,0.75,-1.64,-1.09,-1.32
1981,4,23776,-0.13,0.07,-0.2,0.16,0.36,0.03,-0.41,-0.58,-0.37,-0.19,-0.18,-0.2,0.29,0.48,0.12,-0.48,-0.85,-0.41,0.25,0.04,0.48,-0.29,-1.26,0.17,2.08,1.84,0.08
1981,5,23777,-0.14,-0.19,-0.11,-0.13,-0.21,-0.08,-0.14,-0.17,-0.14,-0.18,-0.25,-0.16,-0.13,-0.21,-0.06,-0.1,-0.06,-0.11,0.02,0.11,-0.07,0.11,-0.19,0.25,-0.7,-0.3,-0.69
1981,6,23778,-0.18,-0.22,-0.16,-0.1,-0.1,-0.1,-0.26,-0.5,-0.21,-0.24,-0.25,-0.24,-0.06,-0.07,-0.05,-0.23,-0.64,-0.16,-0.15,0.05,-0.39,-0.21,-0.1,-0.26,0.72,0.34,-0.59
1981,7,23779,-0.08,0.08,-0.14,-0.06,0.04,-0.12,-0.1,0.18,-0.16,-0.29,-0.42,-0.25,0.06,0.15,-0.02,0,0.66,-0.12,-0.4,-0.32,-0.5,0.86,1.98,0.33,0.33,0.17,-0.02
1981,8,23780,-0.08,0.07,-0.14,-0.05,-0.05,-0.04,-0.11,0.33,-0.21,-0.33,-0.35,-0.33,0.09,0.01,0.16,0.02,0.91,-0.14,0.19,0.37,-0.01,1.15,2.85,0.35,-0.14,-0.23,-0.28
1981,9,23781,-0.16,-0.1,-0.19,-0.19,-0.24,-0.16,-0.13,0.21,-0.21,-0.18,-0.32,-0.14,-0.21,-0.23,-0.18,-0.1,0.65,-0.23,-0.03,-0.29,0.27,0.85,1.47,0.56,-0.08,-0.34,0.76
1981,10,23782,-0.19,-0.26,-0.17,-0.08,-0.19,-0.02,-0.31,-0.44,-0.28,-0.1,-0.19,-0.07,-0.1,-0.22,0.01,-0.39,-0.52,-0.37,0.51,0.67,0.32,-0.15,-0.01,-0.21,-0.36,-0.19,-0.62
1981,11,23783,-0.15,-0.12,-0.16,-0.06,-0.02,-0.08,-0.24,-0.35,-0.21,-0.12,-0.14,-0.11,-0.03,0.04,-0.09,-0.29,-0.59,-0.24,0.63,0.84,0.4,-1.06,-1.24,-0.98,0.73,0.55,-0.48
1981,12,23784,-0.02,0.16,-0.09,0.01,0.21,-0.12,-0.05,0.05,-0.07,-0.14,0,-0.18,0.07,0.26,-0.1,0.01,0.08,0,-0.08,0.18,-0.38,-0.13,0.09,-0.24,-0.04,-0.25,0.52
1982,1,23785,-0.23,-0.5,-0.12,-0.32,-0.68,-0.09,-0.13,-0.08,-0.14,-0.22,-0.23,-0.21,-0.35,-0.78,0.03,-0.11,-0.01,-0.12,-0.88,-1.43,-0.26,0.2,-0.03,0.31,-1.29,-1.12,0.52
1982,2,23786,-0.25,-0.5,-0.15,-0.36,-0.65,-0.17,-0.13,-0.16,-0.13,-0.3,-0.32,-0.29,-0.38,-0.7,-0.08,-0.07,-0.15,-0.05,0.46,0.37,0.56,-0.3,-0.22,-0.34,-0.34,-0.34,0.01
1982,3,23787,-0.32,-0.81,-0.13,-0.47,-0.86,-0.22,-0.17,-0.69,-0.07,-0.2,-0.23,-0.19,-0.61,-0.99,-0.26,-0.17,-1.16,0.01,-0.74,-1.11,-0.32,-1.18,-2.52,-0.55,-0.37,-0.29,0.02
1982,4,23788,-0.32,-0.44,-0.27,-0.31,-0.27,-0.34,-0.32,-0.82,-0.22,-0.31,-0.43,-0.27,-0.32,-0.23,-0.39,-0.33,-1.11,-0.2,-0.49,-0.09,-0.95,-1.01,-1.67,-0.7,-1.32,-1.44,-0.74
1982,5,23789,-0.31,-0.35,-0.3,-0.42,-0.45,-0.4,-0.21,-0.13,-0.23,-0.21,-0.36,-0.16,-0.54,-0.49,-0.58,-0.21,0.08,-0.26,-1.31,-1.11,-1.54,0.56,0.5,0.59,-0.26,-0.6,-0.37
1982,6,23790,-0.25,-0.55,-0.13,-0.34,-0.52,-0.22,-0.16,-0.62,-0.06,-0.13,-0.27,-0.09,-0.47,-0.61,-0.35,-0.14,-0.81,-0.02,-0.62,-0.61,-0.64,0.09,-0.72,0.47,-1.3,-1.17,-0.66
1982,7,23791,-0.41,-0.39,-0.42,-0.38,-0.39,-0.37,-0.44,-0.37,-0.46,-0.29,-0.28,-0.29,-0.45,-0.45,-0.46,-0.5,-0.36,-0.52,-0.3,-0.25,-0.36,-0.23,0.34,-0.5,-0.31,-0.3,-1.06
1982,8,23792,-0.33,-0.41,-0.3,-0.41,-0.36,-0.43,-0.26,-0.52,-0.21,-0.34,-0.49,-0.3,-0.46,-0.38,-0.54,-0.2,-0.4,-0.17,-0.56,-0.55,-0.56,-0.7,-1.4,-0.37,-0.11,-0.12,0.44
1982,9,23793,-0.3,-0.38,-0.27,-0.25,-0.16,-0.31,-0.34,-0.86,-0.24,-0.31,-0.39,-0.29,-0.26,-0.15,-0.37,-0.32,-1.07,-0.19,-0.79,-0.47,-1.15,-0.98,-2.06,-0.47,-0.2,-0.1,-1.33
1982,10,23794,-0.39,-0.52,-0.35,-0.43,-0.46,-0.42,-0.35,-0.64,-0.29,-0.44,-0.58,-0.4,-0.43,-0.43,-0.42,-0.31,-0.7,-0.24,-0.8,-0.97,-0.6,-0.22,-0.8,0.06,-0.31,-0.65,-1.03
1982,11,23795,-0.27,-0.35,-0.24,-0.45,-0.58,-0.37,-0.09,0.17,-0.15,-0.15,-0.32,-0.11,-0.57,-0.62,-0.53,-0.09,0.47,-0.19,-0.93,-0.98,-0.87,0.43,1.09,0.12,-0.66,-0.56,0.02
1982,12,23796,-0.16,-0.02,-0.22,-0.06,-0.06,-0.07,-0.27,0.06,-0.34,0,-0.14,0.04,-0.09,-0.04,-0.14,-0.41,0.23,-0.52,-0.37,-0.27,-0.48,0.53,1.15,0.24,0.71,0.62,-0.63
1983,1,23797,0.01,0.04,0,0.1,0,0.17,-0.08,0.14,-0.13,0.51,0.14,0.62,-0.1,0.06,-0.24,-0.41,-0.17,-0.45,-0.38,0.04,-0.86,0.24,0.1,0.3,0.5,0.26,-0.87
1983,2,23798,-0.16,-0.27,-0.12,-0.24,-0.47,-0.09,-0.09,0.18,-0.14,0.47,0.33,0.51,-0.61,-0.62,-0.6,-0.38,-0.14,-0.43,-0.07,0.06,-0.23,-0.13,-0.38,-0.02,-0.04,-0.04,0.06
1983,3,23799,0.15,-0.13,0.25,0.08,-0.2,0.27,0.21,0.04,0.25,0.56,0.43,0.6,-0.19,-0.34,-0.06,0.05,-0.35,0.12,0.27,0.07,0.51,-0.53,-1.05,-0.29,-0.75,-0.59,0
1983,4,23800,0.08,-0.19,0.19,-0.09,-0.36,0.08,0.25,0.19,0.27,0.38,0.31,0.41,-0.34,-0.52,-0.18,0.19,0.06,0.21,-0.34,-0.16,-0.55,0.43,0.67,0.31,-2.54,-2.11,-0.9
1983,5,23801,0.09,-0.03,0.14,-0.13,-0.34,0,0.31,0.66,0.24,0.29,0.39,0.26,-0.36,-0.52,-0.21,0.33,0.86,0.24,-0.88,-1,-0.75,1.27,2.21,0.82,-1.5,-1.3,0.31
1983,6,23802,-0.18,-0.43,-0.09,-0.3,-0.52,-0.15,-0.07,-0.23,-0.04,0.12,0.11,0.12,-0.53,-0.68,-0.4,-0.15,-0.5,-0.09,-0.39,-0.2,-0.61,0.28,0.06,0.38,-1.05,-0.9,-0.4
1983,7,23803,0,-0.15,0.06,0.02,0.02,0.01,-0.02,-0.55,0.09,0.24,0.35,0.21,-0.12,-0.06,-0.17,-0.14,-1.24,0.06,-0.15,-0.3,0.01,-0.95,-1.87,-0.52,0.27,0.16,-0.92
1983,8,23804,0.03,0.11,-0.01,0.06,0.2,-0.03,-0.01,-0.09,0.01,0.09,0.08,0.09,0.04,0.22,-0.12,-0.06,-0.18,-0.04,-0.13,-0.05,-0.23,-0.19,-0.01,-0.27,0.91,0.58,-0.46
1983,9,23805,-0.01,0.21,-0.09,0,0.11,-0.07,-0.02,0.42,-0.11,-0.01,0.05,-0.03,0.02,0.14,-0.09,-0.03,0.65,-0.15,-0.06,0.2,-0.35,1.16,1.75,0.88,0.07,-0.25,0.9
1983,10,23806,-0.1,-0.05,-0.12,-0.08,0.1,-0.2,-0.11,-0.38,-0.06,-0.17,-0.25,-0.15,-0.06,0.15,-0.25,-0.06,-0.35,-0.01,-0.53,-0.39,-0.69,-0.69,-0.92,-0.58,0.57,0.38,0.05
1983,11,23807,-0.08,0.03,-0.13,0.08,0.34,-0.1,-0.24,-0.67,-0.15,-0.19,-0.25,-0.17,0.19,0.5,-0.08,-0.24,-0.96,-0.12,0.08,0.58,-0.49,-1.18,-2.03,-0.78,-0.16,0.05,-0.03
1983,12,23808,-0.31,-0.42,-0.26,-0.24,-0.33,-0.18,-0.38,-0.64,-0.32,-0.36,-0.48,-0.33,-0.17,-0.31,-0.05,-0.39,-0.71,-0.33,0.23,0.45,-0.03,-0.81,-1.37,-0.54,-1.89,-1.16,-0.55
1984,1,23809,-0.36,-0.41,-0.35,-0.38,-0.41,-0.36,-0.35,-0.4,-0.33,-0.51,-0.58,-0.49,-0.3,-0.4,-0.21,-0.27,-0.16,-0.29,-0.56,-0.15,-1.02,0.19,0.11,0.23,-0.45,-0.51,-0.99
1984,2,23810,-0.23,-0.38,-0.17,-0.32,-0.36,-0.29,-0.14,-0.43,-0.08,-0.32,-0.35,-0.31,-0.3,-0.4,-0.21,-0.06,-0.38,0,-0.2,-0.2,-0.19,-0.28,-0.85,-0.02,0.13,-0.48,-0.52
1984,3,23811,-0.14,-0.19,-0.13,-0.36,-0.32,-0.39,0.07,0.12,0.06,-0.06,-0.05,-0.06,-0.53,-0.41,-0.63,0.15,0.32,0.12,-0.28,-0.13,-0.44,0.53,0.81,0.39,-0.95,-0.51,-0.4
1984,4,23812,-0.25,-0.38,-0.2,-0.37,-0.45,-0.31,-0.13,-0.21,-0.11,-0.2,-0.22,-0.19,-0.47,-0.55,-0.39,-0.08,-0.1,-0.08,-1.07,-1.18,-0.95,0.13,0.34,0.04,-1.02,-1.28,-0.45
1984,5,23813,-0.11,0.03,-0.17,-0.21,-0.11,-0.27,-0.02,0.36,-0.1,-0.33,-0.19,-0.37,-0.15,-0.09,-0.21,0.16,0.77,0.05,-0.01,0.19,-0.24,1.69,2.41,1.35,-0.1,-0.42,-0.55
1984,6,23814,-0.21,-0.19,-0.22,-0.09,-0.01,-0.14,-0.34,-0.6,-0.28,-0.37,-0.36,-0.37,0.08,0.1,0.06,-0.34,-0.84,-0.25,0.23,0.2,0.26,-1.09,-1.63,-0.84,-0.39,-0.37,0.12
1984,7,23815,-0.29,-0.38,-0.25,-0.28,-0.27,-0.28,-0.3,-0.63,-0.23,-0.52,-0.5,-0.53,-0.17,-0.23,-0.11,-0.16,-0.67,-0.07,0.17,0.08,0.28,-0.98,-0.83,-1.04,-0.16,-0.23,-0.87
1984,8,23816,-0.21,-0.3,-0.18,-0.17,-0.15,-0.19,-0.25,-0.64,-0.17,-0.25,-0.26,-0.25,-0.16,-0.17,-0.15,-0.21,-0.78,-0.12,-0.15,-0.33,0.06,0.27,-0.09,0.43,0.07,0.09,-0.62
1984,9,23817,-0.51,-0.71,-0.42,-0.47,-0.68,-0.34,-0.54,-0.79,-0.49,-0.5,-0.57,-0.48,-0.48,-0.73,-0.25,-0.54,-0.87,-0.48,0.09,-0.21,0.43,-0.27,-0.33,-0.25,-0.82,-0.7,-2.07
1984,10,23818,-0.07,-0.22,-0.02,-0.09,-0.2,-0.02,-0.06,-0.26,-0.01,-0.16,-0.09,-0.18,-0.07,-0.24,0.09,0.01,-0.34,0.08,0.36,0.06,0.71,-0.23,-1.07,0.17,-0.7,-0.34,0.02
1984,11,23819,-0.21,-0.31,-0.16,-0.3,-0.36,-0.27,-0.11,-0.21,-0.09,-0.28,-0.29,-0.28,-0.31,-0.37,-0.25,-0.03,-0.17,-0.01,-0.5,-0.73,-0.23,-0.35,-0.58,-0.25,-0.53,-0.54,0.24
1984,12,23820,-0.26,-0.73,-0.07,-0.51,-1.1,-0.13,-0.01,0.11,-0.03,-0.25,-0.36,-0.22,-0.61,-1.27,-0.02,0.09,0.38,0.03,-0.37,-0.81,0.14,0.91,1.35,0.71,1.02,0.94,0.45
1985,1,23821,-0.3,-0.24,-0.32,-0.35,-0.34,-0.35,-0.24,-0.01,-0.29,-0.31,-0.12,-0.37,-0.36,-0.4,-0.33,-0.21,0.08,-0.26,0.95,0.87,1.03,0.27,0.61,0.11,-1.46,-0.66,-0.27
1985,2,23822,-0.48,-0.54,-0.45,-0.37,-0.49,-0.29,-0.58,-0.64,-0.57,-0.46,-0.4,-0.48,-0.31,-0.55,-0.1,-0.65,-0.74,-0.63,-0.83,-0.96,-0.67,-1.16,-1.72,-0.89,-1.37,-1.58,-0.07
1985,3,23823,-0.46,-0.52,-0.43,-0.65,-0.72,-0.61,-0.27,-0.09,-0.31,-0.46,-0.21,-0.53,-0.73,-0.85,-0.62,-0.19,-0.01,-0.22,-1.32,-1.37,-1.27,-0.43,-0.05,-0.61,0.08,-0.27,0.1
1985,4,23824,-0.31,-0.25,-0.34,-0.44,-0.27,-0.55,-0.18,-0.18,-0.18,-0.53,-0.54,-0.53,-0.37,-0.2,-0.52,-0.03,0.07,-0.05,-1.55,-1.27,-1.87,0.05,0.58,-0.2,0.6,-0.17,-0.05
1985,5,23825,-0.32,-0.31,-0.32,-0.31,-0.2,-0.38,-0.33,-0.57,-0.28,-0.38,-0.44,-0.37,-0.26,-0.14,-0.37,-0.32,-0.66,-0.25,-0.35,-0.47,-0.22,-0.71,-0.98,-0.58,0.41,0.16,-0.93
1985,6,23826,-0.35,-0.37,-0.34,-0.43,-0.42,-0.43,-0.27,-0.25,-0.27,-0.49,-0.67,-0.44,-0.42,-0.41,-0.44,-0.12,0.21,-0.18,-0.47,-0.62,-0.31,0.22,0.39,0.14,-0.26,-0.48,-0.56
1985,7,23827,-0.51,-0.76,-0.41,-0.65,-0.77,-0.58,-0.37,-0.75,-0.29,-0.81,-0.89,-0.79,-0.57,-0.74,-0.42,-0.14,-0.65,-0.05,-0.77,-1.19,-0.28,-0.57,-1.86,0.04,-0.15,-0.11,0.02
1985,8,23828,-0.26,-0.23,-0.28,-0.39,-0.29,-0.46,-0.13,-0.11,-0.14,-0.48,-0.5,-0.48,-0.35,-0.23,-0.45,0.05,0.2,0.02,-0.71,-0.63,-0.79,0.14,0.58,-0.08,-0.62,-0.67,-0.29
1985,9,23829,-0.37,-0.34,-0.38,-0.41,-0.24,-0.52,-0.34,-0.57,-0.29,-0.54,-0.52,-0.54,-0.36,-0.18,-0.52,-0.22,-0.59,-0.15,-0.08,0.27,-0.47,-0.54,-0.81,-0.42,-0.87,-0.68,-0.88
1985,10,23830,-0.43,-0.5,-0.4,-0.36,-0.39,-0.35,-0.49,-0.76,-0.44,-0.36,-0.39,-0.36,-0.39,-0.43,-0.35,-0.54,-0.91,-0.47,-0.4,-0.66,-0.1,-0.48,-1.06,-0.2,0.09,-0.26,-1.1
1985,11,23831,-0.28,-0.47,-0.21,-0.29,-0.47,-0.18,-0.27,-0.49,-0.23,-0.33,-0.47,-0.29,-0.3,-0.49,-0.13,-0.22,-0.41,-0.19,0.81,0.7,0.93,-0.77,-1.47,-0.44,-0.62,-0.26,-0.11
1985,12,23832,-0.26,-0.31,-0.24,-0.17,-0.2,-0.16,-0.35,-0.56,-0.3,-0.3,-0.29,-0.3,-0.13,-0.17,-0.09,-0.36,-0.77,-0.28,0.94,1.22,0.61,-1.08,-1.52,-0.87,-0.92,-0.26,-0.12
1986,1,23833,-0.15,-0.03,-0.2,-0.14,0.08,-0.28,-0.16,-0.26,-0.14,-0.16,-0.17,-0.15,-0.15,0.11,-0.39,-0.14,-0.22,-0.13,-0.49,-0.12,-0.91,-0.36,-0.17,-0.45,1.1,0.93,-0.39
